project_id,project_name,start_date,end_date,budget,assigned_employee_id
501,Phoenix Mobile App,2023-01-15,2024-02-28,850000,103
502,Atlas Cloud Migration,2022-09-01,2024-03-31,1200000,101
503,Quantum Analytics Platform,2023-06-01,2024-08-30,1500000,102
504,Nova User Experience Redesign,2023-02-10,2023-12-15,450000,109
505,Titan Marketing Campaign,2023-03-01,2023-10-31,320000,112
506,Eclipse Sales Dashboard,2023-07-01,2024-01-15,275000,117
507,Cosmos Data Pipeline,2023-04-15,2024-06-30,680000,104
508,Nexus API Gateway,2023-08-01,2024-05-31,920000,105
509,Vortex Customer Portal,2023-05-20,2024-04-10,520000,110
510,Zenith Performance Optimization,2023-09-15,2024-07-20,380000,106